,lat,lon,name,capacity,distrito
92,37.4070186,-5.9826416,Calle de Manuel Villalobos,20,3
93,37.3867693,-5.9539833,Calle Zorzal,15,3
94,37.3875947,-5.9608451,Avenida de Andalucía,20,1
95,37.4038631,-5.9835274,Calle León XIII,15,4
96,37.3602749,-5.976717,Calle Rafael Salgado,18,2
97,37.3825989,-5.9711549,Avenida Eduardo Dato,20,3
98,37.4055781,-5.9814785,Calle Manuel Villalobos,20,2
99,37.4054796,-5.9303242,Avenida Alcalde Luis Uruñuela,15,1
100,37.3944959,-5.921065,Avenida de las Ciencias,15,4
101,37.3907156,-5.9591607,Calle de la A.D.A.,15,4
102,37.4051738,-5.9331764,Avenida Alcalde Luis Uruñuela,16,4
103,37.4038945,-5.9279828,Avenida de las Ciencias,14,3
104,37.3874563,-5.919972,Avenida Aeronáutica,15,4
105,37.3908025,-5.9196533,Avenida Alcalde Luis Uruñuela,12,2
106,37.4041166,-5.9373269,Avenida Alcalde Luis Uruñuela - Aprox. estación de Renfe,15,1
107,37.4019539,-5.9417776,Avenida Alcalde Luis Uruñuela,14,1
108,37.402591,-5.9405994,Avenida Alcalde Luis Uruñuela - Aprox. Cueva de la Pileta,15,1
109,37.3999402,-5.9251411,Calle Médicos Sin Frontera,14,3
110,37.4009895,-5.9884718,Plaza Pumarejo,15,4
111,37.4016053,-5.9837102,Calle León XIII,15,1
112,37.387051,-5.9748439,Calle Luis Montoto,17,1
113,37.3753464,-5.9527715,Calle Las Leandras,15,1
114,37.376105,-5.9552373,Puerto de los Azores,15,1
115,37.3780604,-5.9518787,Avenida Los Gavilanes,15,4
116,37.3930879,-5.9706,Avenida Kansas City,20,3
